date_time,camera,video,trial,tank,group_ID,treatment,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,novel_numchases,novel_timechases,,,,,,,,,,,
8/15/17,1,,1,1,2A,2,23,63,,,,,,,3,9454,,,,,,,,,,,
8/17/17,1,,2,1,2A,2,300,300,,,,,,,4,6361,,,,,,,,,,,
9/30/17,1,,2,1,2A_2,2,73,114,,,,,,,1,1415,,,,,,,,,,,
9/28/17,1,1,1,1,2A_2,2,57,300,,,,,,,1,915,,,,,,,,,,,
10/2/17,1,1,3,1,2A_2,2,86,300,,,,,,,0,0,,,,,,,,,,,
10/7/17,RH1,1,1,1,2A_3,2,9,28,,,,,,,0,0,,,,,,,,,,,
10/9/17,1,1,2,1,2A_3,2,7,9,,,,,,,0,0,,,,,,,,,,,
10/11/17,1,1,3,1,2A_3,2,5,8,,,,,,,25,118401,,,,,,,,,,,
8/15/17,1,,1,2,2B,2,11,N/A,,,,,,,0,0,,,,,,,,,,,
8/17/17,1,,2,2,2B,2,55,N/A,,,,,,,0,0,,,,,,,,,,,
8/19/17,1,,3,2,2B,2,2,N/A,,,,,,,0,0,,,,,,,,,,,
9/30/17,1,,2,2,2B_2,2,48,N/A,,,,,,,2,21168,,,,,,,,,,,
9/28/17,1,1,1,2,2B_2,2,32,119,,,,,,,12,35665,,,,,,,,,,,
10/2/17,1,1,3,2,2B_2,2,62,300,,,,,,,2,6267,Weird stand offs,,,,,,,,,,
10/7/17,RH1,1,1,2,2B_3,2,13,14,,,,,,,11,44366,,,,,,,,,,,
10/9/17,1,1,2,2,2B_3,2,109,N/A,,,,,,,4,10202,,,,,,,,,,,
10/11/17,1,1,3,2,2B_3,2,5,7,,,,,,,11,34044,,,,,,,,,,,
8/15/17,4,,1,7,2C,2,7,300,,,,,,,1,606,,,,,,,,,,,
8/17/17,4,,2,7,2C,2,22,Cam Malfnctn,,,,,,,,,*Only see one fish which doesn't eat in the video where the food is dropped,,,,,,,,,,
8/19/17,4,,3,7,2C,2,6,12,,,,,,,2,1391,,,,,,,,,,,
9/28/17,4,"1,2",1,7,2C_2,2,171,233,,,,,,,0,0,,,,,,,,,,,
9/30/17,4,1,2,7,2C_2,2,113,300,,,,,,,0,0,,,,,,,,,,,
10/2/17,4,1,3,8,2C_2,2,78,118,,,,,,,0,0,,,,,,,,,,,
10/7/17,RH4,"1,2",1,7,2C_3,2,3,14,,,,,,,0,0,,,,,,,,,,,
10/9/17,4,1,2,7,2C_3,2,4,21,,,,,,,0,0,,,,,,,,,,,
10/11/17,4,1,3,7,2C_3,2,2,54,,,,,,,0,0,,,,,,,,,,,
8/15/17,4,,1,8,2D,2,5,11,,,,,,,19,51555,,,,,,,,,,,
8/19/17,4,,3,8,2D,2,2,N/A,,,,,,,0,0,,,,,,,,,,,
8/17/17,4,,2,8,2D,2,,,,,,,,,,,Cam malfunction missed introduction of food,,,,,,,,,,
9/28/17,4,"1,2",1,8,2D_2,2,9,268,,,,,,,0,0,,,,,,,,,,,
9/30/17,4,1,2,8,2D_2,2,6,19,,,,,,,22,88983,,,,,,,,,,,
10/2/17,4,1,3,7,2D_2,2,5,84,,,,,,,2,10941,,,,,,,,,,,
10/7/17,RH4,"1,2",1,8,2D_3,2,300,300,,,,,,,0,0,,,,,,,,,,,
10/9/17,4,1,2,8,2D_3,2,202,N/A,,,,,,,0,0,,,,,,,,,,,
10/11/17,4,1,3,8,2D_3,2,N/A,N/A,,,,,,,0,0,,,,,,,,,,,
8/15/17,1,,1,1,2E,2,,,,,,,,,,,Only 17 mins of video no food,,,,,,,,,,
9/28/17,1,2,1,1,2E_2,2,6,29,,,,,,,9,13254,,,,,,,,,,,
9/30/17,1,2,2,1,2E_2,2,22,34,,,,,,,0,0,,,,,,,,,,,
10/7/17,RH1,2,1,1,2E_3,2,6,300,,,,,,,1,,,,,,,,,,,,
10/9/17,1,2,2,1,2E_3,2,3,75,,,,,,,0,0,,,,,,,,,,,
10/11/17,1,2,3,1,2E_3,2,6,300,,,,,,,0,0,,,,,,,,,,,
8/15/17,1,3,1,2,2F,2,,,,,,,,,,,Only 17 mins of video no food,,,,,,,,,,
9/28/17,1,2,1,2,2F_2,2,43,91,,,,,,,7,28828,,,,,,,,,,,
9/30/17,1,2,2,2,2F_2,2,49,300,,,,,,,10,36926,,,,,,,,,,,
10/7/17,RH1,2,1,2,2F_3,2,10,N/A,,,,,,,0,0,,,,,,,,,,,
10/9/17,1,2,2,2,2F_3,2,12,300,,,,,,,8,32974,,,,,,,,,,,
10/11/17,1,2,3,2,2F_3,2,83,N/A,,,,,,,0,0,,,,,,,,,,,
8/15/17,4,,1,8,2G,2,6,6,,,,,,,5,4591,,,,,,,,,,,
8/17/17,1,,2,8,2G,2,4,5,,,,,,,9,18939,,,,,,,,,,,
8/19/17,4,,3,8,2G,2,3,14,,,,,,,0,0,,,,,,,,,,,
9/28/17,4,"3,4",1,7,2G_2,2,264,300,,,,,,,0,0,,,,,,,,,,,
9/30/17,4,2,2,7,2G_2,2,105,N/A,,,,,,,0,0,,,,,,,,,,,
10/2/17,4,2,3,8,2G_2,2,12,90,,,,,,,0,0,,,,,,,,,,,
10/7/17,RH4,3,1,7,2G_3,2,4,14,,,,,,,0,0,,,,,,,,,,,
10/9/17,4,2,2,7,2G_3,2,3,16,,,,,,,0,0,,,,,,,,,,,
10/11/17,4,2,3,7,2G_3,2,1,12,,,,,,,3,4721,,,,,,,,,,,
8/15/17,4,,1,7,2H,2,7,59,,,,,,,1,1642,,,,,,,,,,,
8/17/17,1,,2,7,2H,2,13,28,,,,,,,8,20763,,,,,,,,,,,
8/19/17,4,,3,7,2H,2,11,18,,,,,,,1,2304,,,,,,,,,,,
9/28/17,4,"3,4",1,8,2H_2,2,85,134,,,,,,,2,1836,,,,,,,,,,,
10/7/17,RH4,3,1,8,2H_3,2,28,54,,,,,,,3,5850,,,,,,,,,,,
10/9/17,4,2,2,8,2H_3,2,63,N/A,,,,,,,0,0,,,,,,,,,,,
10/11/17,4,2,3,8,2H_3,2,6,N/A,,,,,,,0,0,,,,,,,,,,,
8/16/17,1,,1,1,2I,2,9,90,,,,,,,8,25746,,,,,,,,,,,
9/29/17,1,"1,2",1,1,2I_2,2,40,43,,,,,,,15,66413,,,,,,,,,,,
10/1/17,1,1,2,1,2I_2,2,6,6,,,,,,,19,20674,,,,,,,,,,,
10/3/17,1,1,3,1,2I_2,2,183,300,,,,,,,8,25752,,,,,,,,,,,
10/8/17,1,1,1,1,2I_3,2,300,300,,,,,,,0,0,,,,,,,,,,,
10/10/17,1,1,2,1,2I_3,2,28,77,,,,,,,0,0,,,,,,,,,,,
10/12/17,1,1,3,1,2I_3,2,138,143,,,,,,,0,0,,,,,,,,,,,
8/16/17,1,,1,2,2J,2,83,94,,,,,,,0,0,,,,,,,,,,,
8/18/17,1,,2,2,2J,2,145,158,,,,,,,2,7804,,,,,,,,,,,
8/20/17,1,1,3,2,2J,2,18,206,,,,,,,0,0,,,,,,,,,,,
9/29/17,1,"1,2",1,2,2J_2,2,33,300,,,,,,,2,2691,,,,,,,,,,,
10/1/17,1,1,2,2,2J_2,2,12,N/A,,,,,,,0,0,,,,,,,,,,,
10/3/17,1,1,3,2,2J_2,2,3,N/A,,,,,,,0,0,,,,,,,,,,,
8/16/17,4,,1,7,2K,2,27,300,,,,,,,0,0,,,,,,,,,,,
8/16/17,4,,1,8,2L,2,9,13,,,,,,,9,25189,,,,,,,,,,,
8/18/17,4,,2,8,2L,2,2,9,,,,,,,3,3229,,,,,,,,,,,
8/20/17,4,1,3,8,2L,2,3,N/A,,,,,,,0,0,,,,,,,,,,,
9/29/17,4,1,1,7,2L_2,2,57,156,,,,,,,19,134640,,,,,,,,,,,
10/1/17,4,1,2,7,2L_2,2,1,8,,,,,,,16,90047,,,,,,,,,,,
10/3/17,4,1,3,7,2L_2,2,2,N/A,,,,,,,0,0,,,,,,,,,,,
8/16/17,1,,1,1,2M,2,3,38,,,,,,,1,2471,,,,,,,,,,,
8/18/17,1,,2,1,2M,2,7,9,,,,,,,0,0,,,,,,,,,,,
8/20/17,1,2,3,1,2M,2,6,8,,,,,,,0,0,,,,,,,,,,,
9/29/17,4,1,1,8,2M_2,2,208,N/A,,,,,,,0,0,,,,,,,,,,,
10/1/17,4,1,2,8,2M_2,2,7,300,,,,,,,0,0,,,,,,,,,,,
10/3/17,4,1,3,8,2M_2,2,4,300,,,,,,,0,0,,,,,,,,,,,
8/16/17,1,,1,2,2N,2,41,72,,,,,,,4,4569,,,,,,,,,,,
8/18/17,1,,2,2,2N,2,7,47,,,,,,,0,0,,,,,,,,,,,
8/20/17,1,2,3,2,2N,2,6,23,,,,,,,0,0,,,,,,,,,,,
9/29/17,1,3,1,1,2N_2,2,7,13,,,,,,,4,4468,,,,,,,,,,,
10/1/17,1,2,2,1,2N_2,2,5,6,,,,,,,8,12582,,,,,,,,,,,
10/3/17,1,2,3,1,2N_2,2,5,48,,,,,,,20,36050,,,,,,,,,,,
8/16/17,4,,1,7,2O,2,25,N/A,,,,,,,4,25602,,,,,,,,,,,
8/18/17,4,,2,7,2O,2,7,14,,,,,,,1,598,,,,,,,,,,,
8/20/17,4,2,3,7,2O,2,1,5,,,,,,,10,73516,,,,,,,,,,,
9/29/17,1,3,1,2,2O_2,2,8,19,,,,,,,0,0,,,,,,,,,,,
10/1/17,1,2,2,2,2O_2,2,300/N/A?,300/N/A?,,,,,,,0,0,"Sort of looked like they were feeding out of view, hard to tell",,,,,,,,,,
8/16/17,4,,1,8,2P,2,29,35,,,,,,,0,0,,,,,,,,,,,
8/18/17,4,,2,8,2P,2,1,38,,,,,,,0,0,,,,,,,,,,,
8/20/17,4,2,3,8,2P,2,2,48,,,,,,,0,0,,,,,,,,,,,
9/29/17,4,2,1,7,2P_2,2,16,N/A,,,,,,,0,0,,,,,,,,,,,
10/1/17,4,2,2,7,2P_2,2,7,N/A,,,,,,,0,0,Already food in the tank when trial started,,,,,,,,,,
10/3/17,4,2,3,7,2P_2,2,21,23,,,,,,,0,0,,,,,,,,,,,
8/15/17,2,,1,3,4A,4,3,8,18,N/A,,,,,7,14451,,,,,,,,,,,
8/17/17,2,,2,3,4A,4,6,7,8,9,,,,,1,500,,,,,,,,,,,
8/19/17,2,,3,3,4A,4,2,5,7,N/A,,,,,3,8301,,,,,,,,,,,
9/28/17,2,1,1,3,4A_2,4,18,19,83,85,,,,,0,0,,,,,,,,,,,
9/30/17,2,1,2,3,4A_2,4,2,3,61,82,,,,,6,10440,,,,,,,,,,,
10/2/17,2,1,3,3,4A_2,4,90,148,44,300,,,,,13,12660,,,,,,,,,,,
10/7/17,RH2,1,1,3,4A_3,4,35,53,94,105,,,,,0,0,,,,,,,,,,,
10/9/17,2,1,2,3,4A_3,4,5,5,11,14,,,,,6,14846,,,,,,,,,,,
10/11/17,2,1,3,3,4A_3,4,2,2,2,4,,,,,17,107562,,,,,,,,,,,
8/15/17,2,,1,4,4B,4,4,5,5,30,,,,,6,6472,,,,,,,,,,,
8/17/17,2,,2,4,4B,4,5,11,49,54,,,,,0,0,,,,,,,,,,,
9/28/17,2,1,1,4,4B_2,4,13,20,54,142,,,,,1,719,,,,,,,,,,,
9/30/17,2,1,2,4,4B_2,4,2,2,7,14,,,,,12,39852,,,,,,,,,,,
10/2/17,2,1,3,4,4B_2,4,2,4,4,300,,,,,9,12436,,,,,,,,,,,
10/7/17,RH2,1,1,4,4B_3,4,3,25,26,32,,,,,0,0,,,,,,,,,,,
10/9/17,2,1,2,4,4B_3,4,3,6,7,8,,,,,3,5818,,,,,,,,,,,
10/11/17,2,1,3,4,4B_3,4,3,3,8,N/A,,,,,1,3751,,,,,,,,,,,
8/15/17,5,,1,9,4C,4,5,7,10,28,,,,,16,16644,,,,,,,,,,,
8/19/17,5,,3,9,4C,4,3,6,12,14,,,,,24,61715,,,,,,,,,,,
8/17/17,5,,2,9,4C,4,6,15,N/A,N/A,,,,,,,,,,,,,,,,,
9/28/17,5,"1,2",1,9,4C_2,4,44,56,72,81,,,,,2,1426,,,,,,,,,,,
9/30/17,5,"1,2",2,9,4C_2,4,2,2,3,175,,,,,10,8657,,,,,,,,,,,
10/7/17,RH5,"1,2",1,9,4C_3,4,5,5,12,152,,,,,0,0,,,,,,,,,,,
10/9/17,5,1,2,9,4C_3,4,2,16,18,N/A,,,,,0,0,,,,,,,,,,,
10/11/17,5,1,3,9,4C_3,4,3,10,30,294,,,,,0,0,,,,,,,,,,,
8/15/17,5,,1,10,4D,4,1,1,73,N/A,,,,,9,17463,,,,,,,,,,,
8/19/17,5,,3,10,4D,4,1,2,4,17,,,,,5,22926,,,,,,,,,,,
8/17/17,5,,2,10,4D,4,1,1,2,38,,,,,,,,,,,,,,,,,
9/28/17,5,"1,2",1,10,4D_2,4,4,5,10,N/A,,,,,6,26220,,,,,,,,,,,
9/30/17,5,"1,2",2,10,4D_2,4,2,4,166,N/A,,,,,10,42633,,,,,,,,,,,
10/2/17,5,1,3,10,4D_2,4,1,4,N/A,N/A,,,,,7,13173,,,,,,,,,,,
10/7/17,RH5,"1,2",1,10,4D_3,4,4,4,6,8,,,,,7,18914,,,,,,,,,,,
10/9/17,5,1,2,10,4D_3,4,1,2,18,N/A,,,,,16,124685,,,,,,,,,,,
10/11/17,5,1,3,10,4D_3,4,2,3,13,N/A,,,,,5,5806,,,,,,,,,,,
8/15/17,2,,1,3,4E,4,4,5,11,219,,,,,12,35908,,,,,,,,,,,
9/30/17,2,,2,3,4E_2,4,2,4,5,11,,,,,10,17698,,,,,,,,,,,
9/28/17,2,2,1,3,4E_2,4,5,6,12,14,,,,,0,0,,,,,,,,,,,
10/2/17,2,2,3,3,4E_2,4,7,21,42,240,,,,,8,18562,,,,,,,,,,,
10/7/17,RH2,2,1,3,4E_3,4,9,11,13,35,,,,,1,983,,,,,,,,,,,
8/15/17,2,,1,4,4F,4,9,11,12,31,,,,,17,34332,,,,,,,,,,,
