Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Leftover Food,Food Input,Proportion Eaten Food,Leftover Novel,Novel Input,Proportion Eaten Novel,Notes,,,,,,,,
8/15/17,RH5 81517,"1,2",1,10,4D,Brine,2,8,0.75,1,8,0.875,,,,,,,,,
9/28/17,RH5,"1,2",1,10,4D_2,Brine,3,8,0.625,0,8,1,,,,,,,,,
10/7/17,RH5,"1,2",1,10,4D_3,Brine,0,8,1,0,8,1,,,,,,,,,
8/15/17,RH2 81517,2,1,3,4E,Brine,4,8,0.5,0,8,1,,,,,,,,,
9/28/17,RH2,2,1,3,4E_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
10/7/17,RH2,2,1,3,4E_3,Brine,0,8,1,0,8,1,,,,,,,,,
8/15/17,RH2 81517,2,1,4,4F,Brine,5,8,0.375,0,8,1,,,,,,,,,
9/28/17,RH2,2,1,4,4F_2,Brine,2,8,0.75,0,8,1,,,,,,,,,
10/7/17,RH2,2,1,4,4F_3,Brine,4,8,0.5,0,8,1,,,,,,,,,
9/28/17,RH5,"3,4",1,9,4G_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
10/7/17,RH5,"3,4",1,9,4G_3,Brine,0,8,1,0,8,1,,,,,,,,,
9/28/17,RH5,"3,4",1,10,4H_2,Brine,6,8,0.25,0,8,1,,,,,,,,,
10/7/17,RH5,"3,4",1,10,4H_3,Brine,2,8,0.75,0,8,1,,,,,,,,,
8/16/17,RH2 81617,1,1,3,4I,Brine,4,8,0.5,0,8,1,,,,,,,,,
9/29/17,RH2,1,1,3,4I_2,Brine,0,8,1,0,8,1,,,,,,,,,
10/8/17,RH2,1,1,3,4I_3,Brine,2,8,0.75,4,8,0.5,,,,,,,,,
8/16/17,RH5 81617,1,1,10,4J,Brine,5,8,0.375,1.5,8,0.8125,,,,,,,,,
9/29/17,RH2,1,1,4,4J_2,Brine,4,8,0.5,0,8,1,,,,,,,,,
10/8/17,RH2,1,1,4,4J_3,Brine,3,8,0.625,0,8,1,,,,,,,,,
8/16/17,RH2 81617,1,1,4,4K,Brine,4,8,0.5,0,8,1,*-1 food pellet during insert,,,,,,,,
9/29/17,RH5,1,1,9,4K_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
8/16/17,RH5 81617,1,1,9,4L,Brine,2.5,8,0.6875,0,8,1,,,,,,,,,
9/29/17,RH5,1,1,10,4L_2,Brine,0,8,1,3,8,0.625,,,,,,,,,
8/16/17,RH2 81617,2,1,3,4M,Brine,3,8,0.625,0,8,1,,,,,,,,,
9/29/17,RH2,2,1,3,4M_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
8/16/17,RH2 81617,2,1,4,4N,Brine,8,8,0,0,8,1,,,,,,,,,
8/16/17,RH5 81617,2,1,9,4O,Brine,7,8,0.125,5,8,0.375,,,,,,,,,
9/29/17,RH2,2,1,4,4O_2,Brine,0,8,1,0,8,1,,,,,,,,,
8/16/17,RH5 81617,2,1,10,4P,Brine,8,8,0,0,8,1,,,,,,,,,
9/29/17,RH5,2,1,9,4P_2,Brine,0,8,1,0,8,1,,,,,,,,,
10/7/17,RH3,1,1,5,8A_3,Brine,0,16,1,0,16,1,,,,,,,,,
8/15/17,RH3 81517,1,1,5,8B,Brine,3,16,0.8125,0,16,1,,,,,,,,,
9/28/17,RH3,1,1,6,8B_2,Brine,9,16,0.4375,6,16,0.625,,,,,,,,,
10/7/17,RH3,1,1,6,8B_3,Brine,0,16,1,0,16,1,,,,,,,,,
9/28/17,RH6,1,1,11,8C_2,Brine,4,16,0.75,0,16,1,,,,,,,,,
10/7/17,RH6,1,1,11,8C_3,Brine,6,16,0.625,0,16,1,,,,,,,,,
8/15/17,RH3 81517,1,1,6,8D,Brine,16,16,0,1,16,0.9375,,,,,,,,,
9/28/17,RH6,1,1,12,8D_2,Brine,2,16,0.875,0,16,1,,,,,,,,,
10/7/17,RH6,1,1,12,8D_3,Brine,4,16,0.75,0,16,1,,,,,,,,,
8/15/17,RH6 81517,1,1,11,8E,Brine,4,16,0.75,0,16,1,,,,,,,,,
9/28/17,RH3,2,1,5,8E_2,Brine,1,16,0.9375,1,16,0.9375,,,,,,,,,
10/7/17,RH3,2,1,5,8E_3,Brine,0,16,1,0,16,1,,,,,,,,,
8/15/17,RH3 81517,1,1,6,8F,Brine,12,16,0.25,3,16,0.8125,,,,,,,,,
9/28/17,RH3,2,1,6,8F_2,Brine,9,16,0.4375,0,16,1,,,,,,,,,
8/15/17,RH6 81517,1,1,12,8G,Brine,11,16,0.3125,0,16,1,,,,,,,,,
9/28/17,RH6,2,1,11,8G_2,Brine,9,16,0.4375,0,16,1,,,,,,,,,
10/7/17,RH6,2,1,11,8G_3,Brine,0,16,1,0,16,1,,,,,,,,,
9/28/17,RH6,2,1,12,8H_2,Brine,0,16,1,0,16,1,,,,,,,,,
10/7/17,RH6,2,1,12,8H_3,Brine,3,16,0.8125,0,16,1,,,,,,,,,
8/16/17,RH3 81617,2,1,6,8I,Brine,9,16,0.4375,3,16,0.8125,,,,,,,,,
9/29/17,RH3,1,1,5,8I_2,Brine,0,16,1,0,16,1,*one fish looks lethargic,,,,,,,,
10/8/17,RH3,1,1,5,8I_3,Brine,8,16,0.5,0,16,1,,,,,,,,,
8/16/17,RH3 81617,2,1,5,8J,Brine,11,16,0.3125,1,16,0.9375,,,,,,,,,
9/29/17,RH3,1,1,6,8J_2,Brine,5,16,0.6875,0,16,1,*one fish looks lethargic,,,,,,,,
10/8/17,RH3,1,1,6,8J_3,Brine,3,16,0.8125,0,16,1,,,,,,,,,
8/16/17,RH6 81617,1,1,11,8K,Brine,10,16,0.375,5,16,0.6875,,,,,,,,,
9/29/17,RH6,1,1,11,8K_2,Brine,5,16,0.6875,1,16,0.9375,,,,,,,,,
10/8/17,RH6,1,1,11,8K_3,Brine,7,16,0.5625,0,16,1,,,,,,,,,
8/16/17,RH6 81617,1,1,12,8L,Brine,13,16,0.1875,0,16,1,,,,,,,,,
9/29/17,RH6,1,1,12,8L_2,Brine,0,16,1,1,16,0.9375,,,,,,,,,
10/8/17,RH6,1,1,12,8L_3,Brine,13,16,0.1875,0,16,1,,,,,,,,,
9/29/17,RH3,2,1,5,8M_2,Brine,2,16,0.875,0,16,1,,,,,,,,,
9/29/17,RH3,2,1,6,8N_2,Brine,0,16,1,0,16,1,*messy dowl uptake,,,,,,,,
8/16/17,RH3 81617,3,1,5,8O,Brine,12,16,0.25,0,16,1,,,,,,,,,
9/29/17,RH6,2,1,11,8O_2,Brine,5,16,0.6875,0,16,1,,,,,,,,,
8/16/17,RH3 81617,3,1,6,8P,Brine,13,16,0.1875,1,16,0.9375,,,,,,,,,
9/29/17,RH6,2,1,12,8P_2,Brine,9,16,0.4375,3,16,0.8125,,,,,,,,,
10/2/17,RH1,1,3,1,2A_2,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
10/11/17,RH1,1,3,1,2A_3,Plastic,0,4,1,NA,4,NA,,,,,,,,,
8/19/17,RH1,1,3,2,2B,Plastic,3,4,0.25,NA,4,NA,,,,,,,,,
10/2/17,RH1,1,3,2,2B_2,Plastic,0,4,1,NA,4,NA,,,,,,,,,
10/11/17,RH1,1,3,2,2B_3,Plastic,0,4,1,NA,4,NA,,,,,,,,,
8/19/17,RH4,1,3,7,2C,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
10/2/17,RH4,1,3,7,2C_2,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
10/11/17,RH4,1,3,7,2C_3,Plastic,1,4,0.75,NA,4,NA,,,,,,,,,
8/19/17,RH4,1,3,8,2D,Plastic,4,4,0,NA,4,NA,,,,,,,,,
10/2/17,RH4,1,3,8,2D_2,Plastic,0,4,1,NA,4,NA,,,,,,,,,
10/11/17,RH4,1,3,8,2D_3,Plastic,4,4,0,NA,4,NA,,,,,,,,,
10/11/17,RH1,2,3,1,2E_3,Plastic,1,4,0.75,NA,4,NA,,,,,,,,,
10/11/17,RH1,2,3,2,2F_3,Plastic,0,4,1,NA,4,NA,,,,,,,,,
8/19/17,RH4,2,3,8,2G,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
10/2/17,RH4,2,3,7,2G_2,Plastic,0,4,1,NA,4,NA,,,,,,,,,
10/11/17,RH4,2,3,7,2G_3,Plastic,3,4,0.25,NA,4,NA,,,,,,,,,
8/19/17,RH4,2,3,7,2H,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
10/11/17,RH4,2,3,8,2H_3,Plastic,1,4,0.75,NA,4,NA,,,,,,,,,
10/3/17,RH1,1,3,1,2I_2,Plastic,1,4,0.75,NA,4,NA,,,,,,,,,
10/12/17,RH1,1,3,1,2I_3,Plastic,0,4,1,NA,4,NA,,,,,,,,,
8/20/17,RH1,1,3,2,2J,Plastic,2,4,0.5,NA,4,NA,***,,,,,,,,
10/3/17,RH1,1,3,2,2J_2,Plastic,0,4,1,NA,4,NA,,,,,,,,,
8/20/17,RH4,1,3,8,2L,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
10/3/17,RH4,1,3,7,2L_2,Plastic,0,4,1,NA,4,NA,,,,,,,,,
8/20/17,RH1,2,3,1,2M,Plastic,3,4,0.25,NA,4,NA,,,,,,,,,
10/3/17,RH4,1,3,8,2M_2,Plastic,0,4,1,NA,4,NA,,,,,,,,,
8/20/17,RH1,2,3,2,2N,Plastic,3,4,0.25,NA,4,NA,,,,,,,,,
10/3/17,RH1,2,3,1,2N_2,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
8/20/17,RH4,2,3,7,2O,Plastic,2,4,0.5,NA,4,NA,,,,,,,,,
8/20/17,RH4,2,3,8,2P,Plastic,0,4,1,NA,4,NA,,,,,,,,,
10/3/17,RH4,2,3,7,2P_2,Plastic,4,4,0,NA,4,NA,,,,,,,,,
8/19/17,RH2,1,3,3,4A,Plastic,0,8,1,NA,8,NA,*drop fell into tank,,,,,,,,
10/2/17,RH2,1,3,3,4A_2,Plastic,3,8,0.625,NA,8,NA,,,,,,,,,
10/11/17,RH2,1,3,3,4A_3,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/2/17,RH2,1,3,4,4B_2,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/11/17,RH2,1,3,4,4B_3,Plastic,2,8,0.75,NA,8,NA,*Part of drop broke during trial - might still be usable,,,,,,,,
8/19/17,RH5,1,3,9,4C,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/11/17,RH5,1,3,9,4C_3,Plastic,1,8,0.875,NA,8,NA,,,,,,,,,
8/19/17,RH5,1,3,10,4D,Plastic,2,8,0.75,NA,8,NA,,,,,,,,,
10/2/17,RH5,1,3,10,4D_2,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/11/17,RH5,1,3,10,4D_3,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/2/17,RH2,2,3,3,4E_2,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/11/17,RH2,2,3,4,4F_3,Plastic,5,8,0.375,NA,8,NA,,,,,,,,,
10/2/17,RH5,2,3,9,4G_2,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/11/17,RH5,2,3,9,4G_3,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/2/17,RH5,2,3,10,4H_2,Plastic,4,8,0.5,NA,8,NA,,,,,,,,,
10/11/17,RH5,2,3,10,4H_3,Plastic,0,8,1,NA,8,NA,,,,,,,,,
8/20/17,RH5,"1,2",3,10,4J,Plastic,1,8,0.875,NA,8,NA,,,,,,,,,
8/20/17,RH2,1,3,4,4K,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/3/17,RH2,1,3,3,4M_2,Plastic,0,8,1,NA,8,NA,,,,,,,,,
8/20/17,RH2,2,3,4,4N,Plastic,6,8,0.25,NA,8,NA,,,,,,,,,
10/3/17,RH2,1,3,4,4O_2,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/3/17,RH5,"1,2",3,9,4P_2,Plastic,0,8,1,NA,8,NA,,,,,,,,,
10/11/17,RH3,1,3,5,8A_3,Plastic,0,16,1,NA,16,NA,*on individual looks not great when group is taken out,,,,,,,,
10/11/17,RH3,1,3,6,8B_3,Plastic,0,16,1,NA,16,NA,,,,,,,,,
10/11/17,RH6,1,3,11,8C_3,Plastic,1,16,0.9375,NA,16,NA,,,,,,,,,
8/19/17,RH6,1,3,11,8E,Plastic,1,16,0.9375,NA,16,NA,,,,,,,,,
10/2/17,RH3,1,3,5,8E_2,Plastic,5,16,0.6875,NA,16,NA,,,,,,,,,
8/19/17,RH3 ,1,3,6,8F,Plastic,3,16,0.8125,NA,16,NA,"*camera 3 turned off near end of trial, but I think we still got at least 4 minutes after novel cue was inserted",,,,,,,,
8/19/17,RH6,1,3,12,8G,Plastic,3,16,0.8125,NA,16,NA,,,,,,,,,
10/11/17,RH6,2,3,11,8G_3,Plastic,0,16,1,NA,16,NA,,,,,,,,,
10/11/17,RH6,2,3,12,8H_3,Plastic,0,16,1,NA,16,NA,,,,,,,,,
10/12/17,RH3,1,3,5,8I_3,Plastic,8,16,0.5,NA,16,NA,,,,,,,,,
10/12/17,RH3,1,3,6,8J_3,Plastic,0,16,1,NA,16,NA,,,,,,,,,
10/3/17,RH6,1,3,11,8K_2,Plastic,2,16,0.875,NA,16,NA,,,,,,,,,
8/20/17,RH6,1,3,12,8L,Plastic,3,16,0.8125,NA,16,NA,,,,,,,,,
10/12/17,RH6,1,3,12,8L_3,Plastic,7,16,0.5625,NA,16,NA,,,,,,,,,
10/3/17,RH3,1,3,5,8M_2,Plastic,0,16,1,NA,16,NA,,,,,,,,,
10/3/17,RH3,1,3,6,8N_2,Plastic,0,16,1,NA,16,NA,,,,,,,,,
8/20/17,RH3,1,3,5,8O,Plastic,8,16,0.5,NA,16,NA,"*Switched out SD card RH7 for RH3, since it wasn't working",,,,,,,,
10/3/17,RH6,2,3,11,8O_2,Plastic,0,16,1,NA,16,NA,,,,,,,,,
10/3/17,RH6,2,3,12,8P_2,Plastic,3,16,0.8125,NA,16,NA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,