date_time,camera,video,trial,tank,group_ID,treatment,novel_numchases,novel_timechases,individual,latency,max_minus_lat
8/15/17,1,NA,1,1,2A,2,3,9454,1,23,277
8/17/17,1,NA,2,1,2A,2,4,6361,1,300,0
9/30/17,1,NA,2,1,2A_2,2,1,1415,1,73,227
9/28/17,1,1,1,1,2A_2,2,1,915,1,57,243
10/2/17,1,1,3,1,2A_2,2,0,0,1,86,214
10/7/17,RH1,1,1,1,2A_3,2,0,0,1,9,291
10/9/17,1,1,2,1,2A_3,2,0,0,1,7,293
10/11/17,1,1,3,1,2A_3,2,25,118401,1,5,295
8/15/17,1,NA,1,2,2B,2,0,0,1,11,289
8/17/17,1,NA,2,2,2B,2,0,0,1,55,245
8/19/17,1,NA,3,2,2B,2,0,0,1,2,298
9/30/17,1,NA,2,2,2B_2,2,2,21168,1,48,252
9/28/17,1,1,1,2,2B_2,2,12,35665,1,32,268
10/2/17,1,1,3,2,2B_2,2,2,6267,1,62,238
10/7/17,RH1,1,1,2,2B_3,2,11,44366,1,13,287
10/9/17,1,1,2,2,2B_3,2,4,10202,1,109,191
10/11/17,1,1,3,2,2B_3,2,11,34044,1,5,295
8/15/17,4,NA,1,7,2C,2,1,606,1,7,293
8/17/17,4,NA,2,7,2C,2,NA,NA,1,22,278
8/19/17,4,NA,3,7,2C,2,2,1391,1,6,294
9/28/17,4,12,1,7,2C_2,2,0,0,1,171,129
9/30/17,4,1,2,7,2C_2,2,0,0,1,113,187
10/2/17,4,1,3,8,2C_2,2,0,0,1,78,222
10/7/17,RH4,12,1,7,2C_3,2,0,0,1,3,297
10/9/17,4,1,2,7,2C_3,2,0,0,1,4,296
10/11/17,4,1,3,7,2C_3,2,0,0,1,2,298
8/15/17,4,NA,1,8,2D,2,19,51555,1,5,295
8/19/17,4,NA,3,8,2D,2,0,0,1,2,298
8/17/17,4,NA,2,8,2D,2,NA,NA,1,NA,NA
9/28/17,4,12,1,8,2D_2,2,0,0,1,9,291
9/30/17,4,1,2,8,2D_2,2,22,88983,1,6,294
10/2/17,4,1,3,7,2D_2,2,2,10941,1,5,295
10/7/17,RH4,12,1,8,2D_3,2,0,0,1,300,0
10/9/17,4,1,2,8,2D_3,2,0,0,1,202,98
10/11/17,4,1,3,8,2D_3,2,0,0,1,NA,NA
8/15/17,1,NA,1,1,2E,2,NA,NA,1,NA,NA
9/28/17,1,2,1,1,2E_2,2,9,13254,1,6,294
9/30/17,1,2,2,1,2E_2,2,0,0,1,22,278
10/7/17,RH1,2,1,1,2E_3,2,1,NA,1,6,294
10/9/17,1,2,2,1,2E_3,2,0,0,1,3,297
10/11/17,1,2,3,1,2E_3,2,0,0,1,6,294
8/15/17,1,3,1,2,2F,2,NA,NA,1,NA,NA
9/28/17,1,2,1,2,2F_2,2,7,28828,1,43,257
9/30/17,1,2,2,2,2F_2,2,10,36926,1,49,251
10/7/17,RH1,2,1,2,2F_3,2,0,0,1,10,290
10/9/17,1,2,2,2,2F_3,2,8,32974,1,12,288
10/11/17,1,2,3,2,2F_3,2,0,0,1,83,217
8/15/17,4,NA,1,8,2G,2,5,4591,1,6,294
8/17/17,1,NA,2,8,2G,2,9,18939,1,4,296
8/19/17,4,NA,3,8,2G,2,0,0,1,3,297
9/28/17,4,34,1,7,2G_2,2,0,0,1,264,36
9/30/17,4,2,2,7,2G_2,2,0,0,1,105,195
10/2/17,4,2,3,8,2G_2,2,0,0,1,12,288
10/7/17,RH4,3,1,7,2G_3,2,0,0,1,4,296
10/9/17,4,2,2,7,2G_3,2,0,0,1,3,297
10/11/17,4,2,3,7,2G_3,2,3,4721,1,1,299
8/15/17,4,NA,1,7,2H,2,1,1642,1,7,293
8/17/17,1,NA,2,7,2H,2,8,20763,1,13,287
8/19/17,4,NA,3,7,2H,2,1,2304,1,11,289
9/28/17,4,34,1,8,2H_2,2,2,1836,1,85,215
10/7/17,RH4,3,1,8,2H_3,2,3,5850,1,28,272
10/9/17,4,2,2,8,2H_3,2,0,0,1,63,237
10/11/17,4,2,3,8,2H_3,2,0,0,1,6,294
8/16/17,1,NA,1,1,2I,2,8,25746,1,9,291
9/29/17,1,12,1,1,2I_2,2,15,66413,1,40,260
10/1/17,1,1,2,1,2I_2,2,19,20674,1,6,294
10/3/17,1,1,3,1,2I_2,2,8,25752,1,183,117
10/8/17,1,1,1,1,2I_3,2,0,0,1,300,0
10/10/17,1,1,2,1,2I_3,2,0,0,1,28,272
10/12/17,1,1,3,1,2I_3,2,0,0,1,138,162
8/16/17,1,NA,1,2,2J,2,0,0,1,83,217
8/18/17,1,NA,2,2,2J,2,2,7804,1,145,155
8/20/17,1,1,3,2,2J,2,0,0,1,18,282
9/29/17,1,12,1,2,2J_2,2,2,2691,1,33,267
10/1/17,1,1,2,2,2J_2,2,0,0,1,12,288
10/3/17,1,1,3,2,2J_2,2,0,0,1,3,297
8/16/17,4,NA,1,7,2K,2,0,0,1,27,273
8/16/17,4,NA,1,8,2L,2,9,25189,1,9,291
8/18/17,4,NA,2,8,2L,2,3,3229,1,2,298
8/20/17,4,1,3,8,2L,2,0,0,1,3,297
9/29/17,4,1,1,7,2L_2,2,19,134640,1,57,243
10/1/17,4,1,2,7,2L_2,2,16,90047,1,1,299
10/3/17,4,1,3,7,2L_2,2,0,0,1,2,298
8/16/17,1,NA,1,1,2M,2,1,2471,1,3,297
8/18/17,1,NA,2,1,2M,2,0,0,1,7,293
8/20/17,1,2,3,1,2M,2,0,0,1,6,294
9/29/17,4,1,1,8,2M_2,2,0,0,1,208,92
10/1/17,4,1,2,8,2M_2,2,0,0,1,7,293
10/3/17,4,1,3,8,2M_2,2,0,0,1,4,296
8/16/17,1,NA,1,2,2N,2,4,4569,1,41,259
8/18/17,1,NA,2,2,2N,2,0,0,1,7,293
8/20/17,1,2,3,2,2N,2,0,0,1,6,294
9/29/17,1,3,1,1,2N_2,2,4,4468,1,7,293
10/1/17,1,2,2,1,2N_2,2,8,12582,1,5,295
10/3/17,1,2,3,1,2N_2,2,20,36050,1,5,295
8/16/17,4,NA,1,7,2O,2,4,25602,1,25,275
8/18/17,4,NA,2,7,2O,2,1,598,1,7,293
8/20/17,4,2,3,7,2O,2,10,73516,1,1,299
9/29/17,1,3,1,2,2O_2,2,0,0,1,8,292
10/1/17,1,2,2,2,2O_2,2,0,0,1,NA,NA
8/16/17,4,NA,1,8,2P,2,0,0,1,29,271
8/18/17,4,NA,2,8,2P,2,0,0,1,1,299
8/20/17,4,2,3,8,2P,2,0,0,1,2,298
9/29/17,4,2,1,7,2P_2,2,0,0,1,16,284
10/1/17,4,2,2,7,2P_2,2,0,0,1,7,293
10/3/17,4,2,3,7,2P_2,2,0,0,1,21,279
8/15/17,2,NA,1,3,4A,4,7,14451,1,3,297
8/17/17,2,NA,2,3,4A,4,1,500,1,6,294
8/19/17,2,NA,3,3,4A,4,3,8301,1,2,298
9/28/17,2,1,1,3,4A_2,4,0,0,1,18,282
9/30/17,2,1,2,3,4A_2,4,6,10440,1,2,298
10/2/17,2,1,3,3,4A_2,4,13,12660,1,90,210
10/7/17,RH2,1,1,3,4A_3,4,0,0,1,35,265
10/9/17,2,1,2,3,4A_3,4,6,14846,1,5,295
10/11/17,2,1,3,3,4A_3,4,17,107562,1,2,298
8/15/17,2,NA,1,4,4B,4,6,6472,1,4,296
8/17/17,2,NA,2,4,4B,4,0,0,1,5,295
9/28/17,2,1,1,4,4B_2,4,1,719,1,13,287
9/30/17,2,1,2,4,4B_2,4,12,39852,1,2,298
10/2/17,2,1,3,4,4B_2,4,9,12436,1,2,298
10/7/17,RH2,1,1,4,4B_3,4,0,0,1,3,297
10/9/17,2,1,2,4,4B_3,4,3,5818,1,3,297
10/11/17,2,1,3,4,4B_3,4,1,3751,1,3,297
8/15/17,5,NA,1,9,4C,4,16,16644,1,5,295
8/19/17,5,NA,3,9,4C,4,24,61715,1,3,297
8/17/17,5,NA,2,9,4C,4,NA,NA,1,6,294
9/28/17,5,12,1,9,4C_2,4,2,1426,1,44,256
9/30/17,5,12,2,9,4C_2,4,10,8657,1,2,298
10/7/17,RH5,12,1,9,4C_3,4,0,0,1,5,295
10/9/17,5,1,2,9,4C_3,4,0,0,1,2,298
10/11/17,5,1,3,9,4C_3,4,0,0,1,3,297
8/15/17,5,NA,1,10,4D,4,9,17463,1,1,299
8/19/17,5,NA,3,10,4D,4,5,22926,1,1,299
8/17/17,5,NA,2,10,4D,4,NA,NA,1,1,299
9/28/17,5,12,1,10,4D_2,4,6,26220,1,4,296
9/30/17,5,12,2,10,4D_2,4,10,42633,1,2,298
10/2/17,5,1,3,10,4D_2,4,7,13173,1,1,299
10/7/17,RH5,12,1,10,4D_3,4,7,18914,1,4,296
10/9/17,5,1,2,10,4D_3,4,16,124685,1,1,299
10/11/17,5,1,3,10,4D_3,4,5,5806,1,2,298
8/15/17,2,NA,1,3,4E,4,12,35908,1,4,296
9/30/17,2,NA,2,3,4E_2,4,10,17698,1,2,298
9/28/17,2,2,1,3,4E_2,4,0,0,1,5,295
10/2/17,2,2,3,3,4E_2,4,8,18562,1,7,293
10/7/17,RH2,2,1,3,4E_3,4,1,983,1,9,291
8/15/17,2,NA,1,4,4F,4,17,34332,1,9,291
8/17/17,2,NA,2,4,4F,4,1,702,1,5,295
9/30/17,2,NA,2,4,4F_2,4,11,17597,1,2,298
9/28/17,2,2,1,4,4F_2,4,0,0,1,10,290
10/7/17,RH2,2,1,4,4F_3,4,5,8810,1,4,296
10/9/17,2,2,2,4,4F_3,4,7,18850,1,3,297
10/11/17,2,2,3,4,4F_3,4,0,0,1,1,299
9/28/17,5,34,1,9,4G_2,4,0,0,1,4,296
9/30/17,5,3,2,9,4G_2,4,4,3730,1,3,297
10/2/17,5,2,3,9,4G_2,4,0,0,1,2,298
10/7/17,RH5,34,1,9,4G_3,4,0,0,1,2,298
10/9/17,5,2,2,9,4G_3,4,0,0,1,8,292
10/11/17,5,2,3,9,4G_3,4,1,835,1,2,298
9/28/17,5,34,1,10,4H_2,4,0,0,1,10,290
9/30/17,5,3,2,10,4H_2,4,0,0,1,2,298
10/2/17,5,2,3,10,4H_2,4,0,0,1,57,243
10/7/17,RH5,34,1,10,4H_3,4,9,13404,1,2,298
10/9/17,5,2,2,10,4H_3,4,1,854,1,2,298
10/11/17,5,2,3,10,4H_3,4,0,0,1,1,299
8/16/17,2,NA,1,3,4I,4,2,2509,1,14,286
9/29/17,2,1,1,2,4I_2,4,1,1039,1,69,231
10/1/17,2,1,2,3,4I_2,4,0,0,1,27,273
10/8/17,2,1,1,3,4I_3,4,0,0,1,300,0
10/10/17,2,1,2,3,4I_3,4,4,3944,1,74,226
8/16/17,5,NA,1,10,4J,4,9,33073,1,3,297
8/18/17,5,NA,2,10,4J,4,12,29584,1,2,298
8/20/17,5,12,3,10,4J,4,0,0,1,2,298
9/29/17,2,2,1,3,4J_2,4,4,7100,1,5,295
10/8/17,2,1,1,4,4J_3,4,0,0,1,2,298
10/10/17,2,1,2,4,4J_3,4,2,4428,1,5,295
8/16/17,2,NA,1,4,4K,4,2,3358,1,2,298
8/18/17,2,NA,2,4,4K,4,1,1714,1,2,298
8/20/17,2,1,3,4,4K,4,3,4759,1,2,298
9/29/17,5,1,1,9,4K_2,4,6,11848,1,8,292
8/16/17,5,NA,1,9,4L,4,15,68221,1,9,291
8/18/17,5,NA,2,9,4L,4,13,124455,1,2,298
9/29/17,5,1,1,10,4L_2,4,2,2970,1,5,295
8/16/17,2,NA,1,3,4M,4,0,0,1,3,297
9/29/17,2,1,1,3,4M_2,4,2,2630,1,19,281
10/1/17,2,2,2,3,4M_2,4,8,36251,1,3,297
10/3/17,2,1,3,3,4M_2,4,4,5298,1,3,297
8/16/17,2,NA,1,4,4N,4,11,55142,1,4,296
8/18/17,2,NA,2,4,4N,4,19,34909,1,3,297
8/20/17,2,2,3,4,4N,4,0,0,1,3,297
8/16/17,5,NA,1,9,4O,4,0,0,1,5,295
9/29/17,2,2,1,4,4O_2,4,7,11899,1,6,294
10/1/17,2,2,2,4,4O_2,4,24,20179,1,2,298
10/3/17,2,1,3,4,4O_2,4,38,78328,1,2,298
8/16/17,5,NA,1,10,4P,4,1,893,1,3,297
9/29/17,5,2,1,9,4P_2,4,11,32608,1,1,299
10/1/17,5,1,2,9,4P_2,4,14,38164,1,1,299
10/3/17,5,12,3,9,4P_2,4,8,16448,1,1,299
10/7/17,RH3,1,1,5,8A_3,8,7,4760,1,1,299
10/9/17,3,1,2,5,8A_3,8,15,21267,1,2,298
10/11/17,3,1,3,5,8A_3,8,30,58372,1,1,299
8/15/17,3,NA,1,5,8B,8,7,6192,1,1,299
9/28/17,3,1,1,6,8B_2,8,0,0,1,13,287
10/7/17,RH3,1,1,6,8B_3,8,7,4655,1,4,296
10/9/17,3,1,2,6,8B_3,8,22,28922,1,2,298
10/11/17,3,1,3,6,8B_3,8,23,17303,1,1,299
9/28/17,6,1,1,11,8C_2,8,5,4601,1,3,297
10/7/17,RH6,1,1,11,8C_3,8,0,0,1,2,298
10/9/17,6,1,2,11,8C_3,8,1,923,1,1,299
10/11/17,6,1,3,11,8C_3,8,2,5718,1,2,298
8/17/17,3,NA,2,6,8D,8,2,2183,1,1,299
8/15/17,3,NA,1,6,8D,8,3,8918,1,4,296
9/28/17,6,1,1,12,8D_2,8,14,36538,1,3,297
10/7/17,RH6,1,1,12,8D_3,8,0,0,1,5,295
8/15/17,6,NA,1,11,8E,8,1,2507,1,1,299
8/19/17,6,NA,3,11,8E,8,4,15681,1,1,299
8/17/17,6,NA,2,11,8E,8,NA,NA,1,3,297
9/28/17,3,2,1,5,8E_2,8,5,9098,1,3,297
9/30/17,3,1,2,5,8E_2,8,24,59813,1,6,294
10/2/17,3,1,3,7,8E_2,8,26,60476,1,2,298
10/7/17,RH3,2,1,5,8E_3,8,1,6300,1,8,292
10/9/17,3,2,2,5,8E_3,8,17,44906,1,3,297
8/15/17,3,NA,1,6,8F,8,4,9357,1,4,296
8/17/17,3,NA,2,6,8F,8,4,3505,1,2,298
8/19/17,3,NA,3,6,8F,8,0,0,1,2,298
9/28/17,3,2,1,6,8F_2,8,16,23998,1,3,297
9/30/17,3,1,2,6,8F_2,8,28,47910,1,1,299
8/15/17,6,NA,1,12,8G,8,0,0,1,1,299
8/19/17,6,NA,3,12,8G,8,2,2264,1,2,298
8/17/17,6,NA,2,12,8G,8,NA,NA,1,NA,NA
9/28/17,6,2,1,11,8G_2,8,6,5961,1,4,296
9/30/17,6,1,2,11,8G_2,8,3,4677,1,1,299
10/7/17,RH6,2,1,11,8G_3,8,7,5228,1,2,298
10/9/17,6,1,2,11,8G_3,8,11,13124,1,2,298
10/11/17,6,2,3,12,8G_3,8,5,6756,1,1,299
9/28/17,6,2,1,12,8H_2,8,3,8023,1,4,296
9/30/17,6,1,2,12,8H_2,8,28,80562,1,2,298
10/7/17,RH6,2,1,12,8H_3,8,0,0,1,1,299
10/9/17,6,2,2,12,8H_3,8,1,726,1,1,299
10/11/17,6,2,3,11,8H_3,8,0,0,1,1,299
8/16/17,3,NA,1,6,8I,8,0,0,1,2,298
9/29/17,3,1,1,5,8I_2,8,21,45706,1,35,265
10/1/17,3,1,2,5,8I_2,8,22,76964,1,2,298
10/8/17,3,1,1,5,8I_3,8,0,0,1,3,297
10/10/17,3,1,2,5,8I_3,8,0,0,1,2,298
10/12/17,3,1,3,5,8I_3,8,0,0,1,1,299
8/16/17,3,NA,1,5,8J,8,0,0,1,3,297
9/29/17,3,1,1,6,8J_2,8,1,1288,1,2,298
10/8/17,3,1,1,6,8J_3,8,1,585,1,2,298
10/10/17,3,1,2,6,8J_3,8,11,21360,1,4,296
10/12/17,3,1,3,6,8J_3,8,7,6064,1,2,298
8/16/17,6,NA,1,11,8K,8,0,0,1,3,297
8/18/17,6,NA,2,11,8K,8,6,12764,1,3,297
9/29/17,6,1,1,11,8K_2,8,0,0,1,2,298
10/1/17,6,1,2,11,8K_2,8,NA,NA,1,2,298
10/3/17,6,1,3,11,8K_2,8,1,508,1,2,298
10/8/17,6,1,1,11,8K_3,8,0,0,1,2,298
8/16/17,6,NA,1,12,8L,8,1,935,1,5,295
8/18/17,6,NA,2,12,8L,8,24,28337,1,3,297
8/20/17,6,1,3,12,8L,8,36,76919,1,1,299
9/29/17,6,1,1,12,8L_2,8,6,7885,1,2,298
10/1/17,6,1,2,12,8L_2,8,NA,NA,1,2,298
10/8/17,6,1,1,12,8L_3,8,1,695,1,18,282
10/10/17,6,1,2,12,8L_3,8,3,2357,1,8,292
10/12/17,6,1,3,12,8L_3,8,0,0,1,11,289
9/29/17,3,2,1,5,8M_2,8,7,1,1,4,296
10/1/17,3,2,2,5,8M_2,8,17,13003,1,1,299
10/3/17,3,1,3,5,8M_2,8,27,37081,1,2,298
9/29/17,3,2,1,6,8N_2,8,2,1589,1,3,297
10/1/17,3,2,2,6,8N_2,8,6,4233,1,1,299
10/3/17,3,1,3,6,8N_2,8,9,24859,1,1,299
8/16/17,3,NA,1,5,8O,8,1,2499,1,2,298
8/18/17,3,NA,2,5,8O,8,21,48429,1,2,298
8/20/17,3,1,3,5,8O,8,38,60598,1,2,298
9/29/17,6,2,1,11,8O_2,8,6,5434,1,3,297
10/1/17,6,2,2,11,8O_2,8,34,50342,1,2,298
10/3/17,6,2,3,11,8O_2,8,44,66265,1,2,298
8/16/17,3,NA,1,6,8P,8,0,0,1,2,298
9/29/17,6,2,1,12,8P_2,8,1,1130,1,5,295
10/1/17,6,2,2,12,8P_2,8,0,0,1,2,298
10/3/17,6,2,3,12,8P_2,8,0,0,1,2,298
8/15/17,1,NA,1,1,2A,2,3,9454,2,63,237
8/17/17,1,NA,2,1,2A,2,4,6361,2,300,0
9/30/17,1,NA,2,1,2A_2,2,1,1415,2,114,186
9/28/17,1,1,1,1,2A_2,2,1,915,2,300,0
10/2/17,1,1,3,1,2A_2,2,0,0,2,300,0
10/7/17,RH1,1,1,1,2A_3,2,0,0,2,28,272
10/9/17,1,1,2,1,2A_3,2,0,0,2,9,291
10/11/17,1,1,3,1,2A_3,2,25,118401,2,8,292
8/15/17,1,NA,1,2,2B,2,0,0,2,NA,NA
8/17/17,1,NA,2,2,2B,2,0,0,2,NA,NA
8/19/17,1,NA,3,2,2B,2,0,0,2,NA,NA
9/30/17,1,NA,2,2,2B_2,2,2,21168,2,NA,NA
9/28/17,1,1,1,2,2B_2,2,12,35665,2,119,181
10/2/17,1,1,3,2,2B_2,2,2,6267,2,300,0
10/7/17,RH1,1,1,2,2B_3,2,11,44366,2,14,286
10/9/17,1,1,2,2,2B_3,2,4,10202,2,NA,NA
10/11/17,1,1,3,2,2B_3,2,11,34044,2,7,293
8/15/17,4,NA,1,7,2C,2,1,606,2,300,0
8/17/17,4,NA,2,7,2C,2,NA,NA,2,NA,NA
8/19/17,4,NA,3,7,2C,2,2,1391,2,12,288
9/28/17,4,12,1,7,2C_2,2,0,0,2,233,67
9/30/17,4,1,2,7,2C_2,2,0,0,2,300,0
10/2/17,4,1,3,8,2C_2,2,0,0,2,118,182
10/7/17,RH4,12,1,7,2C_3,2,0,0,2,14,286
10/9/17,4,1,2,7,2C_3,2,0,0,2,21,279
10/11/17,4,1,3,7,2C_3,2,0,0,2,54,246
8/15/17,4,NA,1,8,2D,2,19,51555,2,11,289
8/19/17,4,NA,3,8,2D,2,0,0,2,NA,NA
8/17/17,4,NA,2,8,2D,2,NA,NA,2,NA,NA
9/28/17,4,12,1,8,2D_2,2,0,0,2,268,32
9/30/17,4,1,2,8,2D_2,2,22,88983,2,19,281
10/2/17,4,1,3,7,2D_2,2,2,10941,2,84,216
10/7/17,RH4,12,1,8,2D_3,2,0,0,2,300,0
10/9/17,4,1,2,8,2D_3,2,0,0,2,NA,NA
10/11/17,4,1,3,8,2D_3,2,0,0,2,NA,NA
8/15/17,1,NA,1,1,2E,2,NA,NA,2,NA,NA
9/28/17,1,2,1,1,2E_2,2,9,13254,2,29,271
9/30/17,1,2,2,1,2E_2,2,0,0,2,34,266
10/7/17,RH1,2,1,1,2E_3,2,1,NA,2,300,0
10/9/17,1,2,2,1,2E_3,2,0,0,2,75,225
10/11/17,1,2,3,1,2E_3,2,0,0,2,300,0
8/15/17,1,3,1,2,2F,2,NA,NA,2,NA,NA
9/28/17,1,2,1,2,2F_2,2,7,28828,2,91,209
9/30/17,1,2,2,2,2F_2,2,10,36926,2,300,0
10/7/17,RH1,2,1,2,2F_3,2,0,0,2,NA,NA
10/9/17,1,2,2,2,2F_3,2,8,32974,2,300,0
10/11/17,1,2,3,2,2F_3,2,0,0,2,NA,NA
8/15/17,4,NA,1,8,2G,2,5,4591,2,6,294
8/17/17,1,NA,2,8,2G,2,9,18939,2,5,295
8/19/17,4,NA,3,8,2G,2,0,0,2,14,286
9/28/17,4,34,1,7,2G_2,2,0,0,2,300,0
9/30/17,4,2,2,7,2G_2,2,0,0,2,NA,NA
10/2/17,4,2,3,8,2G_2,2,0,0,2,90,210
10/7/17,RH4,3,1,7,2G_3,2,0,0,2,14,286
10/9/17,4,2,2,7,2G_3,2,0,0,2,16,284
10/11/17,4,2,3,7,2G_3,2,3,4721,2,12,288
8/15/17,4,NA,1,7,2H,2,1,1642,2,59,241
8/17/17,1,NA,2,7,2H,2,8,20763,2,28,272
8/19/17,4,NA,3,7,2H,2,1,2304,2,18,282
9/28/17,4,34,1,8,2H_2,2,2,1836,2,134,166
10/7/17,RH4,3,1,8,2H_3,2,3,5850,2,54,246
10/9/17,4,2,2,8,2H_3,2,0,0,2,NA,NA
10/11/17,4,2,3,8,2H_3,2,0,0,2,NA,NA
8/16/17,1,NA,1,1,2I,2,8,25746,2,90,210
9/29/17,1,12,1,1,2I_2,2,15,66413,2,43,257
10/1/17,1,1,2,1,2I_2,2,19,20674,2,6,294
10/3/17,1,1,3,1,2I_2,2,8,25752,2,300,0
10/8/17,1,1,1,1,2I_3,2,0,0,2,300,0
10/10/17,1,1,2,1,2I_3,2,0,0,2,77,223
10/12/17,1,1,3,1,2I_3,2,0,0,2,143,157
8/16/17,1,NA,1,2,2J,2,0,0,2,94,206
8/18/17,1,NA,2,2,2J,2,2,7804,2,158,142
8/20/17,1,1,3,2,2J,2,0,0,2,206,94
9/29/17,1,12,1,2,2J_2,2,2,2691,2,300,0
10/1/17,1,1,2,2,2J_2,2,0,0,2,NA,NA
10/3/17,1,1,3,2,2J_2,2,0,0,2,NA,NA
8/16/17,4,NA,1,7,2K,2,0,0,2,300,0
8/16/17,4,NA,1,8,2L,2,9,25189,2,13,287
8/18/17,4,NA,2,8,2L,2,3,3229,2,9,291
8/20/17,4,1,3,8,2L,2,0,0,2,NA,NA
9/29/17,4,1,1,7,2L_2,2,19,134640,2,156,144
10/1/17,4,1,2,7,2L_2,2,16,90047,2,8,292
10/3/17,4,1,3,7,2L_2,2,0,0,2,NA,NA
8/16/17,1,NA,1,1,2M,2,1,2471,2,38,262
8/18/17,1,NA,2,1,2M,2,0,0,2,9,291
8/20/17,1,2,3,1,2M,2,0,0,2,8,292
9/29/17,4,1,1,8,2M_2,2,0,0,2,NA,NA
10/1/17,4,1,2,8,2M_2,2,0,0,2,300,0
10/3/17,4,1,3,8,2M_2,2,0,0,2,300,0
8/16/17,1,NA,1,2,2N,2,4,4569,2,72,228
8/18/17,1,NA,2,2,2N,2,0,0,2,47,253
